1000
0,4,142
1,224,248
2,75,327
3,34,178
4,209,327
5,332,317
6,68,45
7,121,40
8,90,279
9,235,282
10,44,106
11,300,239
12,171,347
13,232,126
14,192,294
15,281,76
16,199,134
17,270,84
18,195,287
19,17,117
20,174,324
21,203,198
22,248,89
23,300,158
24,64,10
25,41,299
26,345,150
27,65,52
28,280,63
29,316,312
30,315,67
31,194,110
32,65,225
33,90,106
34,83,24
35,304,257
36,340,227
37,217,91
38,207,209
39,56,104
40,66,279
41,68,70
42,341,176
43,263,286
44,143,137
45,264,6
46,320,58
47,309,79
48,264,31
49,160,161
50,183,80
51,60,302
52,348,269
53,32,169
54,285,118
55,208,87
56,318,211
57,195,132
58,203,324
59,264,281
60,298,204
61,83,26
62,53,129
63,255,194
64,278,227
65,278,350
66,137,339
67,36,204
68,186,75
69,55,298
70,29,199
71,166,188
72,73,284
73,87,226
74,249,86
75,288,58
76,139,33
77,243,326
78,0,292
79,130,53
80,23,127
81,85,347
82,139,16
83,259,308
84,110,231
85,118,94
86,252,321
87,0,98
88,203,104
89,313,262
90,125,40
91,105,207
92,294,228
93,308,113
94,307,0
95,338,38
96,13,319
97,173,108
98,246,0
99,309,162
100,299,0
101,68,87
102,57,105
103,327,115
104,146,125
105,214,321
106,125,33
107,136,211
108,337,258
109,180,263
110,54,167
111,290,283
112,189,304
113,305,346
114,88,300
115,245,29
116,225,334
117,314,129
118,276,133
119,181,242
120,135,10
121,166,254
122,34,205
123,16,332
124,170,347
125,208,126
126,65,45
127,97,193
128,157,214
129,25,26
130,224,241
131,121,13
132,181,158
133,210,79
134,189,289
135,328,17
136,155,184
137,52,145
138,66,318
139,57,203
140,202,62
141,9,289
142,101,332
143,172,22
144,222,308
145,272,167
146,64,308
147,139,183
148,214,75
149,99,234
150,104,72
151,295,253
152,151,86
153,26,103
154,272,189
155,211,226
156,292,141
157,168,184
158,272,113
159,52,118
160,204,1
161,315,121
162,232,12
163,111,54
164,119,11
165,126,188
166,169,262
167,119,341
168,265,301
169,248,35
170,79,262
171,148,96
172,176,223
173,192,323
174,339,75
175,45,333
176,139,98
177,150,1
178,22,278
179,325,321
180,10,121
181,162,148
182,269,68
183,254,117
184,300,179
185,47,125
186,237,283
187,90,87
188,49,88
189,247,223
190,15,76
191,258,151
192,28,212
193,129,234
194,238,335
195,183,36
196,126,214
197,212,101
198,184,58
199,178,92
200,18,270
201,349,45
202,235,258
203,290,172
204,264,242
205,286,159
206,131,272
207,310,217
208,132,4
209,47,167
210,138,246
211,276,334
212,296,235
213,247,306
214,97,124
215,270,99
